Park Alpha,Status,park alpha,park,State,region,title,description,category,relatedRoadEvents,date,Park Name,Park Full Name,Type of Unit,Reg,Column Labels
VOYA,Only using alerts,VOYA,,MN,,['Salmi Road Entrance to the Kab-Ash Trail out of the Kabetogama Community Remains Temporarily Closed.'],"[""Salmi Road entrance to the Kab-Ash Trail remains temporarily closed at the trail's western most terminus. Access to the trail remains open at trailheads along Ash River Trail road, Meadwood Road, and the eastern terminus within the community of Ash River.""]",['Park Closure'],[[]],2024-06-06,Voyageurs,Voyageurs National Park,National Park,MWR,
ULSG,Only using alerts,ULSG,,MO,,['GPS Navigation Systems'],"[""GPS navigation systems often misdirect visitors driving to Ulysses S. Grant National Historic Site. GPS systems often route visitors to our back gate, or to the entrance for Grant's Farm (not affiliated with the NPS). Please visit our directions page.""]",['Information'],[[]],2024-06-06,Ulysses S Grant,Ulysses S. Grant National Historic Site,National Historic Site,MWR,
DENA,Only using alerts,DENA,,AK,,"['Denali Park Road Information', 'Park Operations Altered Due to Pretty Rocks Landslide']","['The Denali Park Road is open to Mile 15 (Savage River) for personal vehicles. Vehicle travel beyond Savage River in summer is mainly limited to transit and tour buses.', 'Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.']","['Information', 'Park Closure']","[[], []]",2024-06-06,Denali,Denali National Park and Preserve,National Park & Preserve,AKR,
MORR,Only using alerts,MORR,,NJ,,"['Morristown road closures beginning 29 February', 'Passaic River Trail Bridge washed out']","['On 2/29 Eastbound Morris St. will be closed down to one lane starting at Ridgedale Ave for about 140 days. Westbound Morris St will closed to all traffic starting at the intersection of Ford Ave and Taft Lane. Please plan alternate routes.', ""Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.""]","['Information', 'Caution']","[[], []]",2024-06-06,Morristown,Morristown National Historical Park,National Historical Park,NER,
BADL,Only using alerts,BADL,,SD,,['Navigation'],"['Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.']",['Caution'],[[]],2024-06-06,Badlands,Badlands National Park,National Park,MWR,
CEBR,Only using alerts,CEBR,,UT,,['Hiking trails inaccessible'],"['While visitors can drive through the park along State Route 148 and visit the overlooks, all hiking trails continue to be inaccessible due to snow levels.']",['Park Closure'],[[]],2024-06-06,Cedar Breaks,Cedar Breaks National Monument,National Monument,IMR,
FOPO,Only using alerts,FOPO,,CA,,['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",['Caution'],[[]],2024-06-06,Fort Point,Fort Point National Historic Site,National Historic Site,PWR,
MORU,Only using alerts,MORU,,SD,,['Highway Construction Impacting Travel to the Memorial'],['Numerous highway construction projects are occurring in the Black Hills and may impact trip planning to the Memorial. Please consult with South Dakota 511 to minimize delays or other inconveniences.'],['Information'],[[]],2024-06-06,Mount Rushmore,Mount Rushmore National Memorial,National Memorial,MWR,
SAMO,Only using alerts,SAMO,,CA,,['Franklin Canyon Park is Open.'],['Franklin Canyon Park is open at the north (Mulholland) entrance to pedestrian and bicycle access only. No vehicular access until further notice due to hazardous conditions. South entrance is open to vehicles. No through traffic.'],['Information'],[[]],2024-06-06,Santa Monica Mountains,Santa Monica Mountains National Recreation Area,National Recreation Area,PWR,
CANY,Only using alerts,CANY,,UT,,"['Grand View Point closing for construction weekdays July through September', 'White Rim Road may become impassable at Upheaval Wash', 'Seasonal climbing closures in effect', 'Expect long lines to enter the park']","['Later this summer, Grand View Point Overlook, Grand View Point Trail, and 0.3 mi (0.5 km) of park road will close 6 am Mondays to 4 pm Thursdays for a total of eight weeks. The closure applies to all uses, including vehicles, tour buses, motorcycles,', 'The White Rim Road can become impassable at Upheaval Wash when the Green River is above 14,000 CFS. Monitor conditions of the river before proceeding with your trip. If the road is flooded and you cannot pass, you must turn around.', 'All climbers should ensure routes are not subject to wildlife seasonal closures. Many closures start March 1, March 15, or April 1 and continue through spring and summer.', 'Between March and November, particularly on busy holiday weekends, you may experience long lines at the entrance road. Parking lots at popular trailheads and viewpoints will fill early. Pack your patience and arrive early to avoid crowds.']","['Park Closure', 'Caution', 'Information', 'Information']","[[], [], [], []]",2024-06-06,Canyonlands,Canyonlands National Park,National Park,IMR,
FONE,Only using alerts,FONE,,PA,,['Portions of Braddock Road Trail Closed'],['Portions of the Braddock Road Trail at the Indian Run bridge are closed until a new foot bridge is constructed.'],['Information'],[[]],2024-06-06,Fort Necessity,Fort Necessity National Battlefield,National Battlefield,NER,
GRBA,Only using alerts,GRBA,,NV,,['Infrastructure Projects to Cause Closures and Disruptions'],"['Visitors should expect disruptions to their experience at the park this year due to a number of major infrastructure projects involving intermittent closures to campgrounds, roads, and trailheads, For more information, click ""More"" or call 775-234-7331.']",['Park Closure'],[[]],2024-06-06,Great Basin,Great Basin National Park,National Park,PWR,
NIOB,Only using alerts,NIOB,,NE,,['Landing at Hwy 137'],['The highway 137 bridge landing sustained flood damage in 2019 and the landing restoration by NDOT has been completed. The area is smaller than in the past and the access to the water is steeper. Use caution when accessing the landing'],['Information'],[[]],2024-06-06,Niobrara,Niobrara National Scenic River,National Scenic River,MWR,
BEOL,Only using alerts,BEOL,,CO,,['A Short Walk is Required to Reach the Fort'],"[""A 1/4 mile (1,275 feet) walk on a paved trail from the parking area is required to reach the gate of the fort. At the end of your visit, you'll return to your vehicle along the same path.""]",['Information'],[[]],2024-06-06,Bent's Old Fort,Bent's Old Fort National Historic Site,National Historic Site,IMR,
YELL,Only using alerts,YELL,,"ID,MT,WY",,"['Elk With Calves Are Extremely Dangerous', 'Vehicle Entrance Reservation Not Needed']","['Be alert, especially this time of year around Mammoth Hot Springs. Elk calves may be hidden close to buildings, under or next to vehicles, and around blind corners. You must remain at least 25 yards from all wildlife. If an elk charges, retreat!', 'Although an entrance pass is required to enter Yellowstone National Park, vehicle reservations are not needed. You are encouraged to purchase an entrance pass before arriving, but you may also purchase passes at any entrance station upon arrival.']","['Caution', 'Information']","[[], []]",2024-06-06,Yellowstone,Yellowstone National Park,National Park,IMR,
CALO,Only using alerts,CALO,,NC,,['6/5 CONSTRUCTION AT PEDESTRIAN BEACH CROSSING'],['Expected up to a 15 minute delay on 6/5 from 7:30 AM to 2:00 PM at the pedestrian beach crossing between MM 41 and MM 42 on the backroad on South Core Banks.'],['Caution'],[[]],2024-06-06,Cape Lookout,Cape Lookout National Seashore,National Seashore,SER,
CUGA,Only using alerts,CUGA,,"KY, TN, VA",,['Trail Closure'],['Wilderness Road is closed from Tennessee Road Trail to the trail that leads up to Gap Cave for scheduled maintenance work.'],['Information'],[[]],2024-06-06,Cumberland Gap,Cumberland Gap National Historical Park,National Historical Park,SER,
CONG,Only using alerts,CONG,,SC,,"['RVs, Trailers and Other Oversized Vehicles (Limited Parking)']","['Due to increased visitation, parking lots often fill up early. Visitors need to be aware that parking for larger vehicles is very limited. RVs using ""tow dollies"" may have to unhook towed vehicles in order to turn around in the parking lot on busy days.']",['Information'],[[]],2024-06-06,Congaree,Congaree National Park,National Park,SER,
GLAC,Only using alerts,GLAC,,MT,,['Going-to-the-Sun Road Seasonal Closure'],['The Going-to-the-Sun Road is open to vehicles to Avalanche Campground on the west side of the park and Jackson Glacier Overlook on the east side of the park. The alpine section remains closed.'],['Park Closure'],[[]],2024-06-06,Glacier,Glacier National Park,National Park,IMR,
CAMO,Only using alerts,CAMO,,CA,,"['Hart Mine Road CLOSED due to collapsed culverts', 'Most Monument Roads Require Heavy Duty 4WD Vehicle to Travel Safely', 'Use Caution on Roads with Debris']","['Do not drive on Hart Mine Road. Missing culverts are hazardous for all vehicles and road is subject to sudden collapse. Please do not drive around signed barricades.', 'Breaking down in the remote monument can be a life-threatening emergency. Most roads require a well-equipped, heavy-duty 4WD vehicle to travel. 2WD high clearance vehicles must use Walking Box Ranch Rd for entry and exit. No Visitor Facilities Available.', 'Flooding has resulted in debris along many roads within the park boundaries. Please use caution when driving on paved roads and watch for road crews at work. Be aware that unimproved and dirt roads may be impassible due to washouts, so plan accordingly.']","['Park Closure', 'Danger', 'Caution']","[[], [], []]",2024-06-06,Castle Mountains,Castle Mountains National Monument,National Monument,PWR,
PINE,Only using alerts,PINE,,NJ,,['If you have been redirected from the New Jersey Coastal Heritage Trail Route'],"[""You were redirected to this site from the New Jersey Coastal Heritage Trail Route because of a sunset clause in the Trail's federal legislation, the NPS lost its legislative authority to manage the trail after 9-30-2011.""]",[''],[[]],2024-06-06,New Jersey Pinelands,New Jersey Pinelands National Reserve,National Reserve,NER,
APPA,Only using alerts,APPA,,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",,['CENTRAL VA – PARKING LOT CLOSURE– ROUTE 311/MCAFEE KNOB'],"['McAfee Knob/Route 311 parking area along the A.T. in Catawba will be closed Thursday, November 30. The lot is being closed to allow for the construction of a new pedestrian footbridge over Route 311.']",['Park Closure'],[[]],2024-06-06,Appalachian,Appalachian,National Scenic Trail,NER,
DEWA,Only using alerts,DEWA,,PA,,['Old Mine Road South Closed for Rehabilitation Project'],['Old Mine Road between Millbrook Village and Worthington State Forest will be closed for the 2024 summer season for a pavement rehabilitation project. Please see news releases for more information.'],['Park Closure'],[[]],2024-06-06,Delaware Water Gap,Delaware Water Gap National Recreation Area,National Recreation Area,NER,
IATR,Only using alerts,IATR,,WI,,['Trail Conditions'],"['Trail conditions can vary throughout the state. Before heading out, check the trail conditions, potential re-routes and closures on the Ice Age Trail Alliance website.']",['Information'],[[]],2024-06-06,Ice Age,Ice Age National Scenic Trail,National Scenic Trail,MWR,
VAFO,Only using alerts,VAFO,,PA,,['County Line Road Closed Monday To Friday'],"['County Line Road is closed during the week, from Monday through Friday. The closure will apply to all vehicular, pedestrian, and bicycle traffic. Please find an alternate route.']",['Information'],[[]],2024-06-06,Valley Forge,Valley Forge National Historical Park,National Historical Park,NER,
WICR,Only using alerts,WICR,,MO,,['Occasional lane closures and traffic delays due to construction at Hwy ZZ & Farm Rd 182'],"[""Please be advised of potential delays or route obstructions to the Wilson's Creek National Battlefield Entrance from Hwy ZZ starting Monday, September 18th. Entering Wilson's Creek National Battlefield from Farm Road 182 via Battlefield may be faster.""]",['Information'],[[]],2024-06-06,Wilson's Creek,Wilson's Creek National Battlefield,National Battlefield,MWR,
COLM,Only using alerts,COLM,,CO,,"['Partial Closure of Rim Rock Drive 6/5 - 6/14', 'Resurfacing Rim Rock Drive']","['Closures will be from Independence Monument View to 16 1/2 Road, then 16 1/2 road to DS Road 7am to 7pm on weekdays. The road will be open on weekends. Access to Glade Park on the east and the Visitor Center on the west is not affected. Expect delays.', 'Project work runs from 4/2 - 8/5. There will be delays of up to 15 minutes and temporary road closures between DS Rd and Independence Monument View. Visit the project page for a full work schedule.']","['Park Closure', 'Caution']","[[], []]",2024-06-06,Colorado,Colorado National Monument,National Monument,IMR,
FOWA,Only using alerts,FOWA,,MD,,['Service Road Closure'],['The Service Road/Trail from the Lighthouse parking lot toward the lighthouse and the road between the fort and visitor center hills are closed to due scheduled construction of the roadway. Please do not enter the area.'],['Park Closure'],[[]],2024-06-06,Fort Washington,Fort Washington Park,Park,NCR,
ROCA,Only using alerts,ROCA,,ME,,['Roosevelt Campobello International Park is located in Welshpool.'],"['Campobello Island is located in the province of New Brunswick, Canada. The physical address for the Visitor Centre is: 459 Route 774 Welshpool, New Brunswick, Canada E5E 1A4']",['Information'],[[]],2024-06-06,Roosevelt Campobello,Roosevelt Campobello International Park,International Park,NER,
DEPO,Only using alerts,DEPO,,CA,,"['Devils Postpile National Monument is closed until June 7', 'Reds Meadow Road Access Restrictions in 2024']","['Devils Postpile National Monument and Reds Meadow Road are closed for season; they will reopen on June 7, 2024.', 'Reds Meadow Road & shuttle service, which provide access to Devils Postpile, will be closed for construction from Sundays at 11 pm through Fridays at 9 am (except holidays) during the summer 2024 season. The road also closes Fridays starting September 15.']","['Park Closure', 'Park Closure']","[[], []]",2024-06-06,Devils Postpile,Devils Postpile National Monument,National Monument,PWR,
YORK,Only using alerts,YORK,,VA,,['Rehabilitation of Colonial Parkway continues with additional Parkway closures'],"['Beginning Tuesday, April 9, 2024, construction will close the Colonial Parkway to all travel in either direction between Yorktown and VA Route 199. Follow all detour signs. See additional closure information in the link below.']",['Park Closure'],[[]],2024-06-06,Yorktown,Yorktown Battlefield,Battlefield,NER,
ROCR,Only using alerts,ROCR,,DC,,"[""Bridge to Thompson's Boat Center is closed""]","[""The bridge between the parking lot and Thompson's Boat Center in Georgetown is closed to all vehicles. The bridge's sidewalk is open to pedestrians.""]",['Park Closure'],[[]],2024-06-06,Rock Creek,Rock Creek Park,Park,NCR,
HALE,Only using alerts,HALE,,HI,,['Drive Cautiously - Endangered Birds on Roadway'],"['Nēnē (Hawaiian geese) and ʻuaʻu (Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.']",['Information'],[[]],2024-06-06,Haleakala,Haleakala National Park,National Park,PWR,
ACAD,Only using alerts,ACAD,,ME,,"['Route 102A (Seawall Road) in Southwest Harbor is closed to through traffic', 'Significant washouts on Historic Carriage Roads', 'Some Streets in Downtown Bar Harbor Closed for Construction Through Summer']","['Due to storm damage, vehicles must access Seawall Campground, and Wonderland and Ship Harbor trails via the west end of Route 102A (Harbor Drive) in Bass Harbor. Route 102A (Seawall Road) is closed to through traffic at the seawall until further notice.', 'Several areas throughout the carriage road system had significant washouts throughout the winter. Users, especially bicyclists, should use caution and watch for flagged areas.', 'To avoid traffic congestion, visitors should access Sand Beach via the Park Loop Road by following signs from the park’s Hulls Cove entrance on Route 3 (Eden Street) or Cadillac Mountain entrance on Route 233 (Eagle Lake Road) in Bar Harbor.']","['Park Closure', 'Caution', 'Park Closure']","[[], [], []]",2024-06-06,Acadia,Acadia National Park,National Park,NER,
CACH,Only using alerts,CACH,,AZ,,"['Route 7 from Sawmill, AZ is NOT recommended']","['Entering the park from the east at Sawmill, AZ on Route 7 is not recommended. Part of this route is UNPAVED and UNMAINTAINED. Please stay on paved roads, such as Indian Route 64 from Tsaile, AZ and Highway 191/Route 7 from Chinle, AZ.']",['Information'],[[]],2024-06-06,Canyon De Chelly,Canyon de Chelly National Monument,National Monument,IMR,
ALCA,Only using alerts,ALCA,,CA,,['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can help prevent vehicle break-ins in parking lots. Before leaving your car to catch the ferry: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",['Caution'],[[]],2024-06-06,Alcatraz Island,Alcatraz Island,Island,PWR,
MIMA,Only using alerts,MIMA,,MA,,"['Trail Closures on Battle Road Trail', 'Trail Closures in place to allow for trail improvements']","['Battle Road Trail between Olive Stow Boardwalk to Brooks Village is closed until Summer of 2024. This will allow for the completion of a trail re-route. Entering closures is prohibited. Please plan accordingly.', 'Rolling Trail Closures and Parking Lot Closures on Battle Road Trail and at the North Bridge Trail will occur in the spring, summer and fall of 2024. Entering closures is prohibited.']","['Park Closure', 'Park Closure']","[[], []]",2024-06-06,Minute Man,Minute Man National Historical Park,National Historical Park,NER,
ANJO,Only using alerts,ANJO,,TN,,['Notice to travelers to National Cemetery'],"['Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.']",['Caution'],[[]],2024-06-06,Andrew Johnson,Andrew Johnson National Historic Site,National Historic Site,SER,
GUIS,Only using alerts,GUIS,,"FL,MS",,['Single-lane closures'],"['Due to restriping, there may be a single lane closure on Highway 399 J Earl Bowden Highway or Johnson Beach Road.']",['Caution'],[[]],2024-06-06,Gulf Islands,Gulf Islands National Seashore,National Seashore,SER,
CAVO,Only using alerts,CAVO,,NM,,"['Volcano Road Closed to RVs and Buses over 26 feet, and to all Trailers.']","['The Volcano top road is not accessible to RVs, buses, attached trailers, or any other vehicle over 26 feet in length, due to the narrowness and weight limits of Volcano Road. Trailer drop off and RV/bus parking is available at the Visitor Center.']",['Park Closure'],[[]],2024-06-06,Capulin Volcano,Capulin Volcano National Monument,National Monument,IMR,
KAWW,Only using alerts,KAWW,,ME,,['Impassable Washout on Sebeois Connector Road'],"['There is an impassable washout on the Seboeis Connector Road (46.07214,-68.63190) within the Seboeis Parcel of Katahdin Woods and Waters National Monument.']",['Caution'],[[]],2024-06-06,Katahdin Woods And Waters,Katahdin Woods and Waters National Monument,National Monument,NER,
FOMC,Only using alerts,FOMC,,MD,,['Motorized Recreational Scooters Not Permitted in Park'],"['For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park']",['Information'],[[]],2024-06-06,Fort McHenry,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,NER,
NOCA,Only using alerts,NOCA,,WA,,"['Cascade River Road Closed for the Winter Season', 'Be Aware of Break-ins along State Route 20']","['Cascade River Road is closed for the winter season at milepost 20 (El Dorado parking lot), three miles before the trailhead.', 'Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.']","['Park Closure', 'Caution']","[[], []]",2024-06-06,North Cascades,North Cascades National Park,National Park,PWR,
MIMI,Only using alerts,MIMI,,SD,,['Warning about GPS Systems!'],"['Vehicle Navigation Systems and GPS units may provide inaccurate information—sending drivers the wrong way on one-way roads, leading them to dead ends in remote areas, or sending them on roads which are impassable. Use the Interstate exits for wayfinding.']",['Caution'],[[]],2024-06-06,Minuteman Missile,Minuteman Missile National Historic Site,National Historic Site,MWR,
NATT,Only using alerts,NATT,,"AL, MS, TN",,['Temporary Blackland Prairie Trail Closure to Equestrians'],"['Heavy rain has undermined a culvert making it unsafe for passage. Due to horse trailer parking availability, the entire section is closed to equestrians. Hikers are still able to travel from the railroad tracks to the Parkway Visitor Center.']",['Park Closure'],[[]],2024-06-06,Natchez Trace,Natchez Trace National Scenic Trail,National Scenic Trail,SER,
HAVO,Only using alerts,HAVO,,HI,,['Volcanic Gas Closures'],"['The Kaʻū Desert area is closed due to volcanic gas hazards including Hilina Pali Road, Kulanaokuaiki Campground, Pepeiao Cabin and Maunaiki Trail. Kaʻaha is open and accessible by Puna Coast Trail.']",['Park Closure'],[[]],2024-06-06,Hawaii Volcanoes,Hawai'i Volcanoes National Park,National Park,PWR,
HAFO,Only using alerts,HAFO,,ID,,['Use Caution with GPS Navigation'],"['The new visitor center is located at 17970 US Hwy 30, about one mile north of downtown Hagerman and the old visitor center. Highway signs and GPS navigation may not yet be up-to-date.']",['Caution'],[[]],2024-06-06,Hagerman Fossil Beds,Hagerman Fossil Beds National Monument,National Monument,PWR,
SAGU,Only using alerts,SAGU,,AZ,,['Vehicle Break-Ins'],"[""Saguaro National Park is an urban park. Vehicle break-ins have occurred at trailheads around the park. Don't make yourself a target. Leave valuables at home, secure your vehicle, and report any suspicious activity.""]",['Caution'],[[]],2024-06-06,Saguaro,Saguaro National Park,National Park,IMR,
TAPR,Only using alerts,TAPR,,KS,,['Dangerous Highway Crossing'],"['Highway 177 is 60 mph with a blind spot directly across from the house. Safely use the highway underpass to the Fox Creek Trail just south of the visitor center parking lot. Be smart, stay alive.']",['Caution'],[[]],2024-06-06,Tallgrass Prairie,Tallgrass Prairie National Preserve,National Preserve,MWR,
AMIS,Only using alerts,AMIS,,TX,,['277N Campground Closed to Tentatively Reopen September 1'],"['Due to resource theft and damage from unauthorized off-road travel in and around the campground, the 277N Campground is closed. It is expected to reopen September 1, 2024.']",['Park Closure'],[[]],2024-06-06,Amistad,Amistad National Recreation Area,National Recreation Area,IMR,
BIBE,Only using alerts,BIBE,,TX,,['Bringing a Pet to Big Bend?'],"['Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended']",['Information'],[[]],2024-06-06,Big Bend,Big Bend National Park,National Park,IMR,
SEKI,Only using alerts,SEKI,,CA,,"['Highway 180 in the Cedar Grove Area of Kings Canyon National Park Closed Until At Least June 10', 'Highway 245 is Closed for Construction and Cannot Be Used to Reach or Leave the Grant Grove Area']","['The section of the highway that provides access to the Cedar Grove area of Kings Canyon National Park remains closed until at least June 10 while facilities are being prepared to reopen for the first time since extreme flooding in the winter of 2022-2023.', 'Highway 245 outside the parks is under construction by CalTrans. It is scheduled to be closed through June 30, 2024. It is not possible to reach or leave the Grant Grove area using Highway 245. Alternate routes are available.']","['Park Closure', 'Information']","[[], []]",2024-06-06,Sequoia & Kings Canyon,Sequoia & Kings Canyon,National Parks,PWR,
FODO,Only using alerts,FODO,,TN,,"['Main Park Roads Open to Vehicular Traffic Starting March 10', 'County road through the Fort Heiman Unit is Closed to Vehicles Past the Pavilion']","['Beginning Sunday, March 10th, 2024, main park roads will be open to vehicular traffic from 8:00 am to 6:00 pm.', 'Fort Heiman is located at 682 Fort Heiman Road, New Concord KY. Due to poor conditions of county roads, the County has posted the loop road closed to vehicles past the park pavilion. Pedestrian access is permitted.']","['Information', 'Information']","[[], []]",2024-06-06,Fort Donelson,Fort Donelson National Battlefield,National Battlefield,SER,
LAMR,Only using alerts,LAMR,,TX,,['Road Construction at Sanford-Yake'],"['Roadwork at the Sanford-Yake area will begin on Monday, May 6, 2024. Expect delays.']",['Caution'],[[]],2024-06-06,Lake Meredith,Lake Meredith National Recreation Area,National Recreation Area,IMR,
MACA,Only using alerts,MACA,,KY,,['Green River Ferry Status'],['The Green River Ferry Status can change without advanced warning. For the most up-to-date ferry status information please call the Green River Ferry Hotline at (270) 758-2166 or follow the Mammoth Cave Roads and Ferry Twitter feed. 2 vehicle limit.'],['Information'],[[]],2024-06-06,Mammoth Cave,Mammoth Cave National Park,National Park,SER,
CRLA,Using TDx feed and alerts,CRLA,,OR,,['Rim Drive and North Entrance Road are CLOSED for the Season'],"['The roads will not reopen until sometime in June or July as plow operators are gradually able to clear sections of large quantities of snow. All other roads remain OPEN, *weather permitting.* Expect snowy and icy conditions. All Oregon chain laws apply.']",['Park Closure'],"[[{'title': 'Seasonal Road Closure', 'id': '05BCCDA8-57AE-4A45-8C5B-D045D6810624', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}]]",2024-05-22,Crater Lake,Crater Lake National Park,National Park,PWR,
SLBE,Using TDx feed and alerts,SLBE,,MI,,['Asphalt sealing'],"['A rolling closure of Lakeshore parking lots and roads will occur the week of April 15, 2024. Cracks and holes in the asphalt will be sealed ahead of a larger paving project beginning in May.']",['Information'],[[]],2024-05-22,Sleeping Bear Dunes,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MWR,
BUFF,Using TDx feed and alerts,BUFF,,AR,,"['South Woolum Road Closed, Alternate Route Available', 'Parking is not permitted on the Kyles Landing Road (County Road 56)', 'Spring Creek Landing Closed to Vehicle-Assisted Launches']","['In the interest of safety, the South Woolum Road has been closed. The Woolum launch and campground remain open.', 'Parking will no longer be permitted on the road to allow space for emergency vehicles to safely enter the park. There will be ‘No Parking’ signs placed along the Kyles Landing Road, also known as County Road 56.', 'The Spring Creek Landing has been closed to vehicle-assisted launches. Watercraft may still be put in and take out at this point, but must be hand carried to and from the parking area. This is to ensure the safety of visitors and avoid continued erosion.']","['Park Closure', 'Information', 'Information']","[[{'title': 'South Woolum Road Closure', 'id': '83A17F44-C295-4B5D-82F4-C770BDB1CD1A', 'type': 'roadevent', 'url': 'https://www.nps.gov/buff/planyourvisit/conditions.htm'}], [], []]",2024-05-22,Buffalo,Buffalo National River,National River,MWR,
YOSE,Using TDx feed and alerts,YOSE,,CA,,['Tioga Road and Mariposa Grove Road (and shuttle service) are closed for the winter'],['Tioga Road (continuation of Highway 120 through the park) is closed for the season due to snow. It usually opens in late May or June. Mariposa Grove Road and shuttle service are also closed for the winter.'],['Park Closure'],"[[{'title': 'Winter Closure', 'id': 'F407F7C6-5FC6-4DA3-A1C1-7B2B32DF5052', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]]",2024-05-22,Yosemite,Yosemite National Park,National Park,PWR,
GRSM,Using TDx feed and alerts,GRSM,,"TN,NC",,"['Cades Cove closed Wednesdays to motor vehicles', 'Most visitors need a parking tag', 'Trail Advisory']","['Cades Cove Loop Road is motor vehicle-free all day on Wednesdays from May through September to provide opportunities for cyclists and pedestrians to experience Cades Cove without motor vehicles.', 'All vehicles parking for longer than 15 minutes require a parking tag. Three tag durations are available for purchase for all vehicle sizes and types: Daily ($5), Weekly ($15), or Annual ($40).', 'Several trails in the park are temporarily closed. Please check the ""Trail and Backcountry Closures, Warnings & Cautions"" section of the Current Road, Facility, Trail & Backcountry Updates page for further details.']","['Park Closure', 'Information', 'Park Closure']","[[], [], []]",2024-05-22,Great Smoky Mountains,Great Smoky Mountains National Park,National Park,SER,
CURE,Using TDx feed and alerts,CURE,,CO,,"['US 50 Roadwork - Little Blue Creek Canyon', 'US 50 Emergency Closure']","['One lane will be closed for roadwork with alternating traffic Mondays through Fridays from 8am to 6:30pm. No weekend work is planned. Westbound traffic will experience longer delays between noon and 1pm, so plan accordingly. Wait times will vary.', 'Colorado Department of Transportation has closed US 50 between County Road 26 and Red Creek Road (18 to 20 miles west of Gunnison) from Mile Point 136 to Mile Point 138. Plan to use alternate routes. No anticipated reopening date.']","['Information', 'Park Closure']","[[{'title': 'Little Blue Creek Canyon Construction', 'id': '3949A0BC-9FC3-483A-892A-52B73482783A', 'type': 'roadevent', 'url': 'https://www.nps.gov/cure/planyourvisit/conditions.htm'}], [{'title': 'US-50 Emergency Closure', 'id': '3CE2C6E6-AA94-4CC1-A155-B9E343D0F71B', 'type': 'roadevent', 'url': 'https://www.nps.gov/cure/planyourvisit/conditions.htm'}]]",2024-05-22,Curecanti,Curecanti National Recreation Area,National Recreation Area,IMR,
BLCA,Using TDx feed and alerts,BLCA,,CO,,"['Highway 50 - Little Blue Creek Canyon Construction', 'Road Construction Update - Delays and Closures in Effect', 'U.S. Highway 50 Closure - East of Black Canyon', 'Road Construction at Black Canyon South Rim - 2024 and 2025']","['Road construction starts May 13, 2024, with alternating one-way closures Mon-Fri 8:00am-6:30pm. The project is located on US Highway 50 between mileposts 123 and 127, approx. 30 miles east of Montrose, CO. Refer to www.us50info.com for updated information', 'Phase one of this major road improvement project is underway with alternating one-way traffic (expect 15-minute delays, multiple stops) starting at the park entrance on Hwy 347. Tomichi Point parking lot and viewpoint are closed until at least mid-May.', 'CO Dept. of Transportation has closed US Highway 50 in both directions between County Road 26 and Red Creek Road (42 to 44 miles east of Montrose), from mile marker 136 to 138, for bridge work. Check https://www.codot.gov/news/media/overview for updates.', 'Major road improvement projects will impact the park from April-November 2024. Expect delays, alternating one-way traffic, and parking lot closures from the park boundary on Hwy 347 to the visitor center. Drive with extra caution. More road work in 2025.']","['Information', 'Park Closure', 'Park Closure', 'Caution']","[[], [], [], [{'title': 'South Rim Road Construction', 'id': '75883C21-B99F-44AB-A551-DDBAD3306156', 'type': 'roadevent', 'url': 'https://www.nps.gov/blca/planyourvisit/conditions.htm'}]]",2024-05-22,Black Canyon Of The Gunnison,Black Canyon of the Gunnison National Park,National Park,IMR,
